cargo,desde,fuente_inicio,tweet_inicio,causa_fin,hasta,sucesora,tweet_fin,fuente_fin,persona_genero,persona_nombre,persona_twitter,entidad_dependencia,entidad_eleccion_mae,entidad_nombre,entidad_tipo,entidad_sigla,entidad_twitter,entidad_webpage,entidad_desde,entidad_fuente_inicio,entidad_hasta,entidad_sucesoras
Gerente General de la CNS (Caja Nacional de Salud),2020-12-08,https://twitter.com/SaludDeportesBo/status/1336494175953498112,https://twitter.com/BoliviaMaes/status/1336582385790558208,Destitución,2021-07-19,['recFtr60R5fUWy5Il'],https://twitter.com/BoliviaMaes/status/1417390285437427714,https://eldeber.com.bo/pais/herland-tejerina-asume-como-nuevo-gerente-de-la-caja-nacional-de-salud_239671,Mujer,Silvia Gallegos Romero,,Ministerio de Salud y Deportes,designación,Caja Nacional de Salud,Caja de Salud,CNS,@CNS_Bolivia,https://www.cns.gob.bo/,,,,
Viceministro de Planificación y Coordinación,2020-12-10,https://twitter.com/Bolivia_bol/status/1337136901682307078,https://twitter.com/BoliviaMaes/status/1337149550025449484,Renuncia,2021-04-12,['recqegoy1p6QQ2SKJ'],https://twitter.com/BoliviaMaes/status/1382336926624124929,https://www.paginasiete.bo/economia/2021/4/14/planificacion-viceministros-se-van-hay-denuncias-de-maltratos-290736.html,Hombre,Diego Pacheco Balanza,,Ministerio de Planificación del Desarrollo,designación,Viceministerio de Planificación y Coordinación,Viceministerio,VPC,,,,,,
Viceministro de Inversión Pública y Financiamiento Externo,2020-12-10,https://twitter.com/Bolivia_bol/status/1337136901682307078,https://twitter.com/BoliviaMaes/status/1337150847822815233,Renuncia,2021-03-12,['recO0kozCnqa93Bt9'],https://twitter.com/BoliviaMaes/status/1382337640037498887,https://www.paginasiete.bo/economia/2021/4/14/planificacion-viceministros-se-van-hay-denuncias-de-maltratos-290736.html,Hombre,Harley Rodríguez Tellez,,Ministerio de Planificación del Desarrollo,designación,Viceministerio de Inversión Pública y Financiamiento Externo,Viceministerio,VIPFE,,,,,,
Director Ejecutivo de la Autoridad de Fiscalización y Control de Pensiones y Seguros (APS),2020-12-11,https://economy.com.bo/portada-economy/25-nosotros/5260-posesionan-a-%C3%B3scar-ferrufino-como-director-de-la-aps.html,https://twitter.com/BoliviaMaes/status/1337864353241034755,Renuncia,2021-04-19,,https://twitter.com/BoliviaMaes/status/1384747590147772417,https://correodelsur.com/politica/20210420_renuncia-el-director-de-la-autoridad-de-fiscalizacion-y-control-de-pensiones-y-seguros.html,Hombre,Oscar Ferrufino Morro,,Ministerio de Economía y Finanzas Públicas,designación,Autoridad de Fiscalización y Control de Pensiones y Seguros,Autoridad de fiscalización,APS,@Bolivia_APS,,,,,
Vocero Presidencial,2020-12-11,https://www.la-razon.com/nacional/2020/12/11/el-gobierno-retoma-la-voceria-presidencial-y-designa-en-el-cargo-al-politologo-jorge-richter/,https://twitter.com/BoliviaMaes/status/1337871559478960128,,,,,,Hombre,Jorge Richter Ramirez,@jorgerichter,Presidencia del Estado,designación,Vocería Presidencial,Otro,VP,,,2020-12-11,,,
Gerente General de SABSA (Servicios de Aeropuertos de Bolivia),2020-12-14,https://twitter.com/mopsv_Bolivia/status/1338606134731698184,https://twitter.com/BoliviaMaes/status/1338760107237236743,Renuncia,2021-12-01,,https://twitter.com/BoliviaMaes/status/1466337384975454208,https://eldeber.com.bo/pais/pozo-asume-como-director-de-naabol-y-ministro-pide-a-aasana-no-dejarse-llevar-por-los-vientos-del-go_257117,Hombre,Elmer Pozo Oliva,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Servicios de Aeropuertos Bolivianos SA,Otro,SABSA,@BoliviaSabsa,,,,,
Gerente General de DELAPAZ (Distribuidora de Electricidad La Paz S.A.),2020-12-14,https://www.delapaz.bo/noticias?n=viceministro-de-electricidad-y-energias-alternativas-posesiona-al-ing.-julio-aruquipa-como-nuevo-gerente-general-de-delapaz,https://twitter.com/BoliviaMaes/status/1338762489790607360,,,,,,Hombre,Julio Aruquipa Mamani,,Ministerio de Hidrocarburos y Energías,designación,Distribuidora de Electricidad La Paz S.A.,Otro,DELAPAZ,@delapazbol,,,,,
Director General Ejecutivo de AASANA (Administración de Aeropuertos y Servicios Auxiliares de Navegación Aérea),2020-12-16,https://twitter.com/mopsv_Bolivia/status/1339320625802964994,https://twitter.com/BoliviaMaes/status/1339336010438729730,Destitución,2021-03-30,['recQacFbxMHYJsJpd'],https://twitter.com/BoliviaMaes/status/1376821837636767744,https://twitter.com/mopsv_Bolivia/status/1376701844056109057,Hombre,Ronny Alexander Balderrama Virreira,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Administración de Aeropuertos y Servicios Auxiliares de Navegación Aérea,Otro,AASANA,@AASANABOLIVIA,https://aasana.bo/,,,2021-11-30,Navegación Aérea y Aeropuertos Bolivianos
Gerente General a.i. de la Empresa Pública Quipus,2020-12-17,https://quipus.gob.bo/index.php/europa-compra-laptops-quipus-bolivianas/,https://twitter.com/BoliviaMaes/status/1387321401984667649,,,,,,Hombre,Alex Machicado,@alexmachicado,Ministerio de Desarrollo Productivo y Economía Plural,designación,Empresa Pública Quipus,Empresa,Quipus,https://twitter.com/QuipusBolivia,https://quipus.gob.bo/,2013-10-09,,,
Viceministra de Deportes,2020-12-17,https://erbol.com.bo/deporte/cielo-veizaga-una-futbolista-de-19-a%C3%B1os-es-la-viceministra-de-deportes-la-m%C3%A1s-joven,https://twitter.com/BoliviaMaes/status/1339842688011689984,,,,,,Mujer,Cielo Jazmín Veizaga Arteaga,@VeizagaCielo,Ministerio de Salud y Deportes,designación,Viceministerio de Deportes,Viceministerio,,@vicedeportesbo,,,,,
"Viceministro de Empleo, Servicio Civil y Cooperativas",2020-12-18,https://www.lostiempos.com/actualidad/pais/20201218/ministra-trabajo-posesiona-martin-bazurco-como-viceministro-empleo-servicio,https://twitter.com/BoliviaMaes/status/1340056464065503233,,,,,,Hombre,Martín Bazurco Ozorio,@MartinBazurco,"Ministerio de Trabajo, Empleo y Previsión Social",designación,"Viceministerio de Empleo, Servicio Civil y Cooperativas",Viceministerio,VESCC,,,,,,
Directora General Ejecutiva de la ABEN (Agencia Boliviana de Energía Nuclear),2020-12-21,https://twitter.com/Bolivia_MHE/status/1340999339120967683,https://twitter.com/BoliviaMaes/status/1341039574613700614,,,,,,Mujer,Hortensia Jiménez Rivera,,Ministerio de Hidrocarburos y Energías,designación,Agencia Boliviana de Energía Nuclear,Otro,ABEN,@ABENinforma,,,,,
Director General Ejecutivo de la OTN-PB (Oficina Técnica Nacional de los Ríos Pilcomayo y Bermejo),2020-12-21,https://twitter.com/AmbienteyAgua/status/1341182683980980224,https://twitter.com/BoliviaMaes/status/1341301130253520896,,,,,,Hombre,Rommel Uño Martinez,@RommelUno,Ministerio de Medio Ambiente y Agua,designación,Oficina Técnica Nacional de los Ríos Pilcomayo y Bermejo,Otro,OTNPB,@OTNcuencasPB,,,,,
Director General de la CEASS (Central de Abastecimiento de Suministros de Salud),2020-12-22,https://twitter.com/SaludDeportesBo/status/1341515203054342157,https://twitter.com/BoliviaMaes/status/1341689639090970625,Desconocida,2021-06-28,['recr4YhIAermkM76U'],https://twitter.com/BoliviaMaes/status/1409778657686691840,,Hombre,Víctor Hugo Aguilar Frías,,Ministerio de Salud y Deportes,designación,Central de Abastecimiento de Suministros de Salud,Otro,CEASS,,http://www.ceass.gob.bo/,,,,
"Director General Ejecutivo de Vías Bolivia, Recaudadora de Rodaje y Pesaje",2020-12-22,https://twitter.com/mopsv_Bolivia/status/1341535721660837895,https://twitter.com/BoliviaMaes/status/1341692683711098885,,,,,,Hombre,Emilio Zurita Escobar,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,"Vías Bolivia, Recaudadora de Rodaje y Pesaje",Otro,Vías Bolivia,@ViasBoliviaONal,,,,,
Director General Ejecutivo de la EGPP (Escuela de Gestión Pública Plurinacional),2020-12-22,https://twitter.com/minedubol/status/1341507306291421186,https://twitter.com/BoliviaMaes/status/1341677350564618241,,,,,,Hombre,Iván Iporre Salguero,@IvanIporre,Ministerio de Educación,designación,Escuela de Gestión Pública Plurinacional,Otro,EGPP,@egppbol,,,,,
Directora General Ejecutiva de la ASUSS (Autoridad de Supervision de la Seguridad Social de Corto Plazo),2020-12-22,https://twitter.com/SaludDeportesBo/status/1341514883570003969,https://twitter.com/BoliviaMaes/status/1341691035953606656,,,,,,Mujer,Silvia Marisol Paz Zambrana,@SilviaMarisolP3,Ministerio de Salud y Deportes,designación,Autoridad de Supervision de la Seguridad Social de Corto Plazo,Autoridad de fiscalización,ASUSS,@AsussBolivia,,,,,
Director Ejecutivo del Senarecom (Servicio Nacional de Registro y Control de la Comercialización de Minerales y Metales),2020-12-22,https://twitter.com/senarecom1/status/1341452365505974283,https://twitter.com/BoliviaMaes/status/1341456338942124032,,,,,,Hombre,Mauricio Mamani Coro,,Ministerio de Minería y Metalurgia,designación,Servicio Nacional de Registro y Control de la Comercialización de Minerales y Metales,Otro,Senarecom,@senarecom1,http://www.senarecom.gob.bo/,,,,
Director General Ejecutivo del INIAF (Instituto Nacional de Innovación Agropecuaria y Forestal),2020-12-24,https://www1.abi.bo/abi_/?i=461501,https://twitter.com/BoliviaMaes/status/1342585276460363776,Desconocida,2021-11-18,['recCm3MMRLygMu50h'],,https://abi.bo/index.php/component/content/article/36-notas/noticias/economia/15493-Posesionan-a-Juan-Carlos-Chura-como-Director-General-Ejecutivo-del-INIAF?Itemid=101,Hombre,Hugo Chambilla Silva,,Ministerio de Desarrollo Rural y Tierras,designación,Instituto Nacional de Innovación Agropecuaria y Forestal,Otro,INIAF,@INIAFBolivia,,,,,
Director General del Fonadin (Fondo Nacional de Desarrollo Integral),2020-12-24,https://twitter.com/MDRyTOficial/status/1342158918827565066/photo/2,https://twitter.com/BoliviaMaes/status/1342587152811618304,,,,,,Hombre,Omar Ortíz,,Ministerio de Desarrollo Rural y Tierras,designación,Fondo Nacional de Desarrollo Integral,Fondo,Fonadin,@fonadin_bolivia,,,,,
Director General Ejecutivo de la AISEM (Agencia de Infraestructura en Salud y Equipamiento),2020-12-24,https://twitter.com/SaludDeportesBo/status/1342134740745392129,https://twitter.com/BoliviaMaes/status/1342176944293605377,Desconocida,2021-05-24,['recoWszjjsVkIzt3o'],,,Hombre,Miguel Freddy Saravia Aguilar,,Ministerio de Salud y Deportes,designación,Agencia de Infraestructura en Salud y Equipamiento,Otro,AISEM,@AISEM_BOLIVIA,,,,,
Director General Ejecutivo de la IPDSA (Institución Pública Desconcentrada Soberanía Alimentaria),2020-12-28,https://twitter.com/MDRyTOficial/status/1343681574815064067,https://twitter.com/BoliviaMaes/status/1344029112990654464,,,,,,Hombre,Jhonny Marcos Huanca Espejo,,Ministerio de Desarrollo Rural y Tierras,designación,Institución Pública Desconcentrada Soberanía Alimentaria,Otro,IPDSA,@IPDSA_Bolivia,,,,,
Director General Ejecutivo del INSA (Instituto del Seguro Agrario),2020-12-28,https://twitter.com/MDRyTOficial/status/1343681574815064067,https://twitter.com/BoliviaMaes/status/1344026642914676736,,,,,,Hombre,Agustín Cahuana Choque,,Ministerio de Desarrollo Rural y Tierras,designación,Instituto del Seguro Agrario,Otro,INSA,@insa_bolivia,,,,,
Director General Ejecutivo a.i. del Senasag (Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria),2020-12-28,https://correodelsur.com/politica/20201228_posesionan-a-placido-condori-como-director-general-del-senasag.html,https://twitter.com/BoliviaMaes/status/1343746402007060481,Desconocida,2021-01-16,['recNsj89xBrqIj1BJ'],,,Hombre,Plácido Condori Mamani,,Ministerio de Desarrollo Rural y Tierras,designación,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Otro,Senasag,@SenasagBolivia,,,,,
Directora General Ejecutiva del FDI (Fondo de Desarrollo Indígena),2020-12-28,https://twitter.com/MDRyTOficial/status/1343681574815064067,https://twitter.com/BoliviaMaes/status/1344028127958343684,,,,,,Mujer,Delicia Rossio López Tolaba,,Ministerio de Desarrollo Rural y Tierras,designación,Fondo de Desarrollo Indígena,Fondo,FDI,@FDIBolivia,,,,,
Comandante General de la Fuerza Aérea,2020-12-29,https://www1.abi.bo/abi_/?i=461694,https://twitter.com/BoliviaMaes/status/1344122630471872512,,,,,,Hombre,Marcelo Juan Heredia Cuba,,Fuerzas Armadas,designación,Fuerza Aérea,Otro,,,,,,,
Comandante General Accidental del Ejercito,2020-12-29,https://www1.abi.bo/abi_/?i=461694,https://twitter.com/BoliviaMaes/status/1344122044598906882,Destitución,2021-08-06,['rec0oiFeNeQiMjs0g'],https://twitter.com/BoliviaMaes/status/1424274689510289412,https://www.opinion.com.bo/articulo/policial/general-acusado-violencia-es-destituido-sigue-investigacion/20210806000446830111.html,Hombre,Miguel del Castillo Quiroga,,Fuerzas Armadas,designación,Ejercito,Otro,,@BoliviaEjercito,,,,,
Comandante General de la Armada,2020-12-29,https://www1.abi.bo/abi_/?i=461694,https://twitter.com/BoliviaMaes/status/1344137832202432512,Fin mandato,2021-10-04,['recAvyPPiYkoTfal3'],https://twitter.com/BoliviaMaes/status/1446739220643651591,,Hombre,Franz Pablo Baldivieso Oña,,Fuerzas Armadas,designación,Armada,Otro,,@ArmadaBoliviana,,,,,
Comandante en Jefe Accidental de las Fuerzas Armadas,2020-12-29,https://www1.abi.bo/abi_/?i=461694,https://twitter.com/BoliviaMaes/status/1344116906899484672,Fin mandato,2021-10-04,['rectsaHNl0tjePnjN'],https://twitter.com/BoliviaMaes/status/1446736348598214657,,Hombre,César Moisés Vallejos Rocha,,Presidencia del Estado,designación,Fuerzas Armadas,Otro,,@ComandoLas,,,,,
Jefe de Estado Mayor Accidental del Comando en Jefe de las Fuerzas Armadas,2020-12-29,https://www1.abi.bo/abi_/?i=461694,https://twitter.com/BoliviaMaes/status/1344120538457845762,Fin mandato,2021-10-04,['recJCJ1QbGkSehBtF'],https://twitter.com/BoliviaMaes/status/1446737548534063106,,Hombre,Augusto Antonio García Lara,,Fuerzas Armadas,designación,Estado Mayor de las Fuerzas Armadas,Otro,,,,,,,
Director Ejecutivo de la ABT (Autoridad de Fiscalización y Control Social de Bosques y Tierra),2020-12-29,https://twitter.com/ABTBolivia/status/1344100496387284992,https://twitter.com/BoliviaMaes/status/1344223028385886208,,,,,,Hombre,Omar Quiroga Antelo,@QuirogaAntelo,Ministerio de Desarrollo Rural y Tierras,designación,Autoridad de Fiscalización y Control Social de Bosques y Tierra,Autoridad de fiscalización,ABT,@ABTBolivia,,,,,
Director General Ejecutivo de la CPS (Caja Petrolera de Salud),2021-01-06,https://twitter.com/SaludDeportesBo/status/1346589886401409025,https://twitter.com/BoliviaMaes/status/1346602861837348870,,,,,,Hombre,David Silvestre Martinez Flores,,Ministerio de Salud y Deportes,designación,Caja Petrolera de Salud,Caja de Salud,CPS,@CajaPetroleraBO,https://www.cps.org.bo/,,,,
Presidente Ejecutivo de Yacimientos de Litio Bolivianos,2021-01-11,https://twitter.com/Bolivia_MHE/status/1348613364990308358,https://twitter.com/BoliviaMaes/status/1348628133344387072,Desconocida,2021-08-21,['recxdDfivNyfpgRmO'],https://twitter.com/BoliviaMaes/status/1430250813973217282,,Hombre,Marcelo Gabino Gonzales Saique,,Ministerio de Hidrocarburos y Energías,designación,Empresa Pública Nacional Estratégica de Yacimientos de Litio Bolivianos,Empresa,YLB,@litio_boliviano,,,,,
Gerente General de EASBA (Empresa Azucarera San Buenaventura),2021-01-11,https://twitter.com/MDPyEPBolivia/status/1348805831584788481,https://twitter.com/BoliviaMaes/status/1348903102292905985,,,,,,Hombre,Ramiro Lizondo Díaz,@lizondo_diaz,Ministerio de Desarrollo Productivo y Economía Plural,designación,Empresa Azucarera San Buenaventura,Empresa,EASBA,@EASBA_Bolivia,,,,,
Viceministro de Planificación Estratégica del Estado,2021-01-12,https://www.periodicobolivia.com.bo/huascar-ajata-es-viceministro-de-planificacion/,https://twitter.com/BoliviaMaes/status/1349015919134126080,,,,,,Hombre,Huáscar Ajata Guerrero,@HuascarAjata,Ministerio de Planificación del Desarrollo,designación,Viceministerio de Planificación Estratégica del Estado,Viceministerio,VPEE,,,,,,
Directora Ejecutiva Nacional de la AJAM (Autoridad Jurisdiccional Administrativa Minera),2021-01-13,https://www.lostiempos.com/actualidad/economia/20210113/posesionan-directores-ajam-sergeomin,https://twitter.com/BoliviaMaes/status/1349637186728189952,Renuncia,2022-05-05,['recwllukjAp4G4eQT'],https://twitter.com/BoliviaMaes/status/1522328232057520130,https://www.lostiempos.com/actualidad/economia/20220505/brenda-lafuente-renuncia-ajam-despidos-cobros-irregulares,Mujer,Brenda Lafuente Fernández,,Ministerio de Minería y Metalurgia,designación,Autoridad Juridiccional Administrativa Minera,Autoridad de fiscalización,AJAM,@AJAMBolivia,https://www.autoridadminera.gob.bo/,,,,
Director General Ejecutivo de la Caja de Salud de Caminos,2021-01-13,https://www.tierraplus.com.bo/Bolivia/Politica1/Gobierno-posesiona-al-exministro-de-Salud-Rodolfo-Rocabado-como-director-de-la-Caja-de-Salud-de-Caminos,https://twitter.com/BoliviaMaes/status/1349635699134373888,,,,,,Hombre,Rodolfo Edmundo Rocabado Benavides,@RocabadoRodolfo,Ministerio de Salud y Deportes,designación,Caja de Salud de Caminos y Ramas Anexas,Caja de Salud,CSCRA,@CajadeCaminos,http://www.cajasaludcaminos.gob.bo/,,,,
Gerente General Interino de EBIH (Empresa Boliviana de Industrialización de Hidrocarburos),2021-01-13,https://www.hidrocarburos.gob.bo/index.php/comunicaci%C3%B3n/prensa/4906-gallardo-asume-la-gerencia-de-la-empresa-boliviana-de-industrializaci%C3%B3n-de-hidrocarburos-ebih.html,https://twitter.com/BoliviaMaes/status/1349632613020028928,,,,,,Hombre,Alejandro Gallardo Baldiviezo,,Ministerio de Hidrocarburos y Energías,designación,Empresa Boliviana de Industrialización de Hidrocarburos,Empresa,EBIH,@BoliviaEbih,http://ebih.gob.bo/,,,,
Director Ejecutivo del Sergeomin (Servicio Geológico Minero),2021-01-13,https://www.lostiempos.com/actualidad/economia/20210113/posesionan-directores-ajam-sergeomin,"https://twitter.com/BoliviaMaes/status/1349640201514196992
",,,,,,Hombre,René Quelali Sullca,,Ministerio de Minería y Metalurgia,designación,Servicio Geológico Minero,Otro,Sergeomin,@sergeomin,https://www.sergeomin.gob.bo/,,,,
Director General Ejecutivo del Senasag (Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria),2021-01-16,https://twitter.com/MDRyTOficial/status/1350542146416336897,https://twitter.com/BoliviaMaes/status/1350554853362315265,Desconocida,2021-04-07,['recm7WmHvM5d6pQ9M'],,,Hombre,Juan Miguel Quiroz Ugarte,,Ministerio de Desarrollo Rural y Tierras,designación,Servicio Nacional de Sanidad Agropecuaria e Inocuidad Alimentaria,Otro,Senasag,@SenasagBolivia,,,,,
Ministro de Salud y Deportes,2021-01-16,https://www.lostiempos.com/actualidad/pais/20210116/posesionan-jeyson-marcos-auza-como-nuevo-ministro-salud,https://twitter.com/BoliviaMaes/status/1350454799364448262,,,,,,Hombre,Jeyson Marcos Auza Pinto,@JeysonAuza,Presidencia del Estado,designación,Ministerio de Salud y Deportes,Ministerio,MSD,@SaludDeportesBo,,,,,
Presidente Ejecutivo Interino de la ESM (Empresa Siderúrgica del Mutún),2021-01-18,https://twitter.com/abi_bolivia/status/1351267620125876227,https://twitter.com/BoliviaMaes/status/1351441179796271105,Renuncia,2021-06-08,,https://twitter.com/BoliviaMaes/status/1402523317756641285,https://www.paginasiete.bo/economia/2021/6/8/renuncia-presidente-de-la-esm-sindicado-de-tres-delitos-sancionados-por-la-ley-anticorrupcion-297547.html,Hombre,Gustavo Choque Velasquez,,Ministerio de Minería y Metalurgia,designación,Empresa Siderúrgica del Mutún,Empresa,ESM,@esmbolivia,http://www.esm.gob.bo/,,,,
Presidenta del Directorio de la CPS (Caja Petrolera de Salud),2021-01-20,https://twitter.com/SaludDeportesBo/status/1351995939398049811,https://twitter.com/BoliviaMaes/status/1352171591602491393,,,,,,Mujer,Nila Heredia Miranda,,Ministerio de Salud y Deportes,designación,Caja Petrolera de Salud,Caja de Salud,CPS,@CajaPetroleraBO,https://www.cps.org.bo/,,,,
Viceministro de Ciencia y Tecnología,2021-01-20,https://www.minedu.gob.bo/index.php?option=com_content&view=article&id=4787&catid=182&Itemid=854,https://twitter.com/BoliviaMaes/status/1351947057653805057,,,,,,Hombre,Julio Gómez Chambilla,,Ministerio de Educación,designación,Viceministerio de Ciencia y Tecnología,Viceministerio,VCyT,,https://www.minedu.gob.bo/index.php?option=com_djmediatools&id=61&Itemid=949,,,,
Director a.i. del Banco Central de Bolivia,2021-01-21,https://twitter.com/BancoCentralBO/status/1352357665863774214,https://twitter.com/BoliviaMaes/status/1352362748961816584,,,,,,Hombre,Gabriel Herbas Camacho,,Ministerio de Economía y Finanzas Públicas,designación,Banco Central de Bolivia,Otro,BCB,@BancoCentralBO,https://www.bcb.gob.bo/,,,,
Director General Ejecutivo de la Adecine (Agencia del Desarrollo del Cine y Audiovisual Bolivianos),2021-01-21,https://www.opinion.com.bo/articulo/cultura/german-monje-asume-direccion-adecine/20210121152450804738.html,https://twitter.com/BoliviaMaes/status/1352368384432885761,,,,,,Hombre,Germán Hormando Monje Portugal,,"Ministerio de Culturas, Descolonización y Despatriarcalización",designación,Agencia del Desarrollo del Cine y Audiovisual Bolivianos,Otro,Adecine,@adecinebolivia,http://adecine.com,,,,
Director Nacional Ejecutivo del Senari (Servicio Nacional de Riego),2021-01-26,https://twitter.com/AmbienteyAgua/status/1354142759020605445,https://twitter.com/BoliviaMaes/status/1354134351362068490,,,,,,Hombre,Rodo Condori Benavidez,@BenavidezRodo,Ministerio de Medio Ambiente y Agua,designación,Servicio Nacional de Riego,Otro,Senari,@senaribolivia,http://www.senari.gob.bo/,,,,
rector de la Universidad Indígena Boliviana Comunitaria Intercultural Productiva (Unibol) Guaraní y Pueblos de Tierras Bajas ‘Apiaguaiki Tüpa’,2021-01-26,https://abi.bo/index.php/component/content/article/34-notas/noticias/gobierno/1835-Posesionan-a-Gonzalo-Maratua-como-rector-de-la-Universidad-Ind%C3%ADgena-%E2%80%98Apiaguaiki-T%C3%BCpa%E2%80%99?Itemid=101,,,,,,,Hombre,Gonzalo Maratua,,Ministerio de Educación,designación,Universidad Indígena Boliviana Comunitaria Intercultural Productiva Guaraní y Pueblos de Tierras Bajas ‘Apiaguaiki Tüpa’.,Universidad,Unibol,https://twitter.com/ApiaguaikiT,https://unibolguarani.edu.bo/,2008-08-02,,,
Gerente Ejecutivo de la ASP-B (Administración de Servicios Portuarios – Bolivia),2021-01-27,https://twitter.com/ASPBolivia/status/1354519477203980289,https://twitter.com/BoliviaMaes/status/1354543164099588107,,,,,,Hombre,Dante Fedor Justiniano Segales,@DanteJuSegales,Ministerio de Economía y Finanzas Públicas,designación,Administración de Servicios Portuarios – Bolivia,Otro,ASP-B,@ASPBolivia,https://www.aspb.gob.bo/,,,,
Viceministro de Transporte,2021-01-29,https://twitter.com/mopsv_Bolivia/status/1355266119028903938,https://twitter.com/BoliviaMaes/status/1355276101707300866,Desconocida,2022-04-28,['rec2k8z4A8Kk4Ijc0'],,,Hombre,Nino Saúl Herbas Pérez,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Viceministerio de Transporte,Viceministerio,VT,,https://www.oopp.gob.bo/category/transporte/,,,,
Presidente Ejecutivo Interino de la Comibol (Corporación Minera de Bolivia),2021-02-01,https://twitter.com/BocaminaCOMIBOL/status/1356365865936150532,https://twitter.com/BoliviaMaes/status/1356609179033759745,Desconocida,2022-06-29,['rec9O7valvfF5dLne'],https://twitter.com/BoliviaMaes/status/1542135447429779457,,Hombre,Eugenio Mendoza Tapia,,Ministerio de Minería y Metalurgia,designación,Corporación Minera de Bolivia,Otro,Comibol,@BocaminaCOMIBOL,,,,,
Viceministro de Tierras,2021-02-02,https://www.ahoraelpueblo.bo/juan-garcia-asume-el-viceministerio-de-tierras/,https://twitter.com/BoliviaMaes/status/1431683381142691843,Desconocida,2021-08-27,['recVlANCs6pnc1gjx'],https://twitter.com/BoliviaMaes/status/1431683381142691843,,Hombre,Juan José García Cruz,,Ministerio de Desarrollo Rural y Tierras,designación,Viceministerio de Tierras,Viceministerio,,,,,,,
Gerente General de la Empresa Metalúrgica Vinto (EMV),2021-02-02,https://abi.bo/index.php/component/content/article/34-notas/noticias/gobierno/2082-Posesionan-a-Octavio-Hinojosa-como-Gerente-de-la-Empresa-Metal%C3%BArgica-Vinto?Itemid=101,,Desconocida,2021-10-20,['rec0f11gkgnvUv4HF'],,https://abi.bo/index.php/component/content/article/51-notas/galeria-fotografica/22684-posesionan-al-nuevo-gerente-general-de-la-empresa-metalurgica-vinto?Itemid=101#gallery74d0d551d8-6,Hombre,Octavio Hinojosa Ledezma,,Ministerio de Minería y Metalurgia,designación,Empresa Metalúrgica Vinto,Empresa,EMV,,https://www.vinto.gob.bo,2007-02-09,,,
Director Nacional Interino del INRA (Instituto Nacional de Reforma Agraria),2021-02-08,https://www.abi.bo/#/noticia/1257,https://twitter.com/BoliviaMaes/status/1358773635599769603,,,,,,Hombre,Elogio Núñez Aramayo,,Ministerio de Desarrollo Rural y Tierras,designación,Instituto Nacional de Reforma Agraria,Otro,INRA,@INRA_Nacional,http://www.inra.gob.bo,,,,
Director General Ejecutivo de la Agencia Boliviana de Correos,2021-02-09,https://twitter.com/mopsv_Bolivia/status/1359242473999118338,https://twitter.com/BoliviaMaes/status/1359244277394649091,Desconocida,2021-08-31,['recpVvFCPOaeFF1L1'],https://twitter.com/BoliviaMaes/status/1432818390586982401,,Hombre,Williams Zalles Quisbert,@ZallesQuisbert,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Agencia Boliviana de Correos,Otro,Correos,@AGBCorreos,https://www.correos.gob.bo/,,,,
Director General Ejecutivo de EMAGUA (Entidad Ejecutora de Medio Ambiente y Agua),2021-02-17,https://twitter.com/AmbienteyAgua/status/1362150627909005312,https://twitter.com/BoliviaMaes/status/1362352540814176262,,,,,,Hombre,Hugo Luis Soliz Flores,,Ministerio de Medio Ambiente y Agua,designación,Entidad Ejecutora de Medio Ambiente y Agua,Otro,EMAGUA,@EmaguaBo,http://www.emagua.gob.bo/,,,,
Director Ejecutivo Interino de la ATT (Autoridad de Fiscalización y Regulación de Telecomunicaciones y Transportes),2021-03-04,https://www.att.gob.bo/content/n%C3%B3mina-de-autoridades,https://twitter.com/BoliviaMaes/status/1367520336804249602,Fin interinato,2021-03-30,['recLPQlcEJC3aAwFW'],,,Hombre,Arturo Miguel López Casas,,"Ministerio de Obras Públicas, Servicios y Vivienda",designación,Autoridad de Fiscalización y Regulación de Telecomunicaciones y Transportes,Autoridad de fiscalización,ATT,@ATTBolivia,https://att.gob.bo/,,,,
Director Ejecutivo del OPCE (Observatorio Plurinacional de la Calidad Educativa),2021-03-08,https://twitter.com/minedubol/status/1369005226347405315,https://twitter.com/BoliviaMaes/status/1369023030098337793,,,,,,Hombre,Roberto Mamani Magne,,Ministerio de Educación,designación,Observatorio Plurinacional de la Calidad Educativa,Otro,OPCE,@o_p_c_e,,,,,
Director General Ejecutivo del Fofim (Fondo de Financiamiento para la Minería),2021-03-11,https://twitter.com/minmineriabo/status/1370136588735369218,https://twitter.com/BoliviaMaes/status/1370370320276860931,,,,,,Hombre,Juan José Palacios,,Ministerio de Minería y Metalurgia,designación,Fondo de Financiamiento para la Minería,Fondo,Fofim,,,,,,
